DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Belgium,2022,510.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,104.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - food, beverages and tobacco - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,111.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,367.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,379.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,60.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - iron and steel - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,55.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - machinery - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,126.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - machinery - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,134.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - machinery - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,84.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - machinery - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,83.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - mining and quarrying - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,36.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - mining and quarrying - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,37.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - mining and quarrying - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,102.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - mining and quarrying - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,101,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-ferrous metals - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,178.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-ferrous metals - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,168,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-ferrous metals - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,92.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-ferrous metals - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,93.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-metallic minerals - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,180.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-metallic minerals - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,205.4,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-metallic minerals - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,85.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - non-metallic minerals - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,80.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,153.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,142.7,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,63.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - not elsewhere specified - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,65.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - paper, pulp and printing - energy use",Electricity,Thousand tonnes of oil equivalent,Belgium,2021,160.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - paper, pulp and printing - energy use",Electricity,Thousand tonnes of oil equivalent,Belgium,2022,163.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - paper, pulp and printing - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,38.2,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,"Final consumption - industry sector - paper, pulp and printing - energy use",Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,36.3,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - transport equipment - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,64.5,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - transport equipment - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,52.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - transport equipment - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,11.6,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - transport equipment - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,10.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - textile and leather - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,80.8,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - textile and leather - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2022,69.9,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - textile and leather - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2021,25,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - textile and leather - energy use,Electricity,Thousand tonnes of oil equivalent,Bulgaria,2022,25.1,
ESTAT:NRG_BAL_SD(1.0),06/02/24 23:00:00,Annual,Final consumption - industry sector - wood and wood products - energy use,Electricity,Thousand tonnes of oil equivalent,Belgium,2021,69,
