geo,TIME_PERIOD,Self_Sufficiency,Import_Dependency,Imports
Austria,2014,0.7275514278458111,0.40486237295098443,26711.723
Austria,2015,0.6859313517134245,0.438507049712613,29389.163
Austria,2016,0.723500597144821,0.388501601177987,26366.16
Austria,2017,0.7027187147969017,0.42536424199005446,29362.427
Austria,2018,0.715236013010593,0.40577184676472444,28076.136
Austria,2019,0.7401443978536407,0.3756803504089736,26046.847
Austria,2020,0.7504420650650456,0.3663581284575643,24522.492
Austria,2021,0.7397674953491583,0.37707662897140176,26436.192
Austria,2022,0.7110828082393161,0.4121267893071065,28595.17
Austria,2023,0.7990395394579105,0.3278069006656763,21550.341
Belgium,2014,0.7960311110955843,0.25375875276134846,21791.0
Belgium,2015,0.7707673226887932,0.2728324923088251,23714.0
Belgium,2016,0.8855928311988869,0.16815366177328184,14648.0
Belgium,2017,0.8949310700820771,0.161865813384439,14189.4
Belgium,2018,0.8033065228699083,0.24572232658188173,21635.9
Belgium,2019,0.9095017210595101,0.14650173946656359,12734.4
Belgium,2020,0.8934239073121543,0.1625911930905941,13721.9
Belgium,2021,0.8843297310514563,0.17360423955593438,15193.6
Belgium,2022,0.86930592748064,0.19721598996405396,16349.6
Belgium,2023,0.8230800310401662,0.23891051581829958,18626.3
Bulgaria,2014,1.022998968384004,0.1310455731537108,4319.0
Bulgaria,2015,1.0292612871376,0.12718786464410736,4251.0
Bulgaria,2016,1.0148658233833787,0.13500413760491783,4568.0
Bulgaria,2017,1.043107635733508,0.10610688069956914,3705.423
Bulgaria,2018,1.067138984554714,0.06444200219512515,2222.726
Bulgaria,2019,1.0460825920613037,0.08992476341032651,3044.947
Bulgaria,2020,1.0164774960561171,0.1120053104028103,3706.736
Bulgaria,2021,1.076677585091518,0.054135190523787916,1856.976
Bulgaria,2022,1.0925071362824252,0.04359991094958811,1470.003
Bulgaria,2023,0.9697395417793326,0.13281588260848115,4414.784
Germany,2014,1.0081969303406644,0.07365397296105912,40435.0
Germany,2015,1.0163623399012556,0.06680687059418183,37008.0
Germany,2016,1.0274595099854398,0.050939224533084075,28338.0
Germany,2017,1.0270085359869041,0.04986549462515806,27842.0
Germany,2018,1.021031232337229,0.05784637263660729,31727.0
Germany,2019,0.9983308941585034,0.0749994859976412,40126.0
Germany,2020,0.9784900723410805,0.09206749268893336,47853.0
Germany,2021,0.9735610905889421,0.09639032388795983,51731.0
Germany,2022,0.9767857773130347,0.09566771531199299,49331.0
Germany,2023,0.925997885941511,0.1395399406050234,69306.0
Denmark,2014,0.6656380775409984,0.37851682494174965,12702.0
Denmark,2015,0.5727654645163845,0.46652586273940067,15644.747
Denmark,2016,0.6076243188809856,0.4413425479632971,14976.458
Denmark,2017,0.6005479696021943,0.4487226181058191,15218.109
Denmark,2018,0.583496151315852,0.457010220721813,15633.609
Denmark,2019,0.5680459768697438,0.46926981220368197,15981.899
Denmark,2020,0.5019063717695116,0.5484099155870992,18593.972
Denmark,2021,0.5002429165453864,0.5654473830846616,20119.85
Denmark,2022,0.5184483754133027,0.5480321400702316,18752.207
Denmark,2023,0.5088486536448685,0.5848067474922781,19830.774
Estonia,2014,0.7218791621261654,0.4516285264559874,3730.0
Estonia,2015,0.4635406169349883,0.6700258080373602,5452.0
Estonia,2016,0.7807760141303519,0.42600185763963533,3577.0
Estonia,2017,0.9566583655255063,0.2678961939244291,2281.0
Estonia,2018,0.8205326987023399,0.3378781429694896,3053.0
Estonia,2019,0.5608688949538089,0.5550924392778431,4861.0
Estonia,2020,0.262862713798257,0.8221378843636896,7367.0
Estonia,2021,0.27514563371679074,0.8066552342328784,7332.438
Estonia,2022,0.3239435349055627,0.8415961997297706,7183.0
Estonia,2023,0.16082977425259304,0.9347162904209884,7660.0
Greece,2014,0.9005674630426139,0.1709798677124372,9461.0
Greece,2015,0.8789850017439833,0.193250784792466,11081.0
Greece,2016,0.905249682154905,0.1666864436948009,9833.0
Greece,2017,0.9310756897300005,0.15332475906581566,8696.0
Greece,2018,0.9050844765048196,0.15176217181430346,8550.0
Greece,2019,0.8570291363238467,0.19966543815982327,11067.0
Greece,2020,0.8746624906216565,0.18185107412553883,9831.0
Greece,2021,0.8969441846842536,0.13380527772069936,7581.0
Greece,2022,0.8820005155300463,0.14134677711203425,7751.0
Greece,2023,0.8679540782597813,0.15944120492295996,8151.706
Spain,2014,1.0125544015521304,0.04738770922193308,12310.0
Spain,2015,1.002732778066979,0.0564168722510166,14956.0
Spain,2016,0.9753052748585287,0.08175768735590885,21845.0
Spain,2017,0.9654429162969536,0.08785122744750073,23762.0
Spain,2018,0.9624848194899348,0.08838920987745189,24018.0
Spain,2019,0.9767037980912736,0.06994958467915166,18720.84
Spain,2020,0.9821269355888238,0.07079298186337056,17928.364
Spain,2021,0.984401684435968,0.06649630803943206,17411.223
Spain,2022,1.028533202924844,0.03121706722270364,8031.52
Spain,2023,1.0263848222378524,0.04462704010127067,11315.513
Finland,2014,0.7745165206312575,0.25988293128523177,21622.0
Finland,2015,0.7731762871654954,0.2613795539531541,21459.0
Finland,2016,0.7738807290745001,0.260838789594762,22110.0
Finland,2017,0.77305865199191,0.2610883777809134,22204.0
Finland,2018,0.7771778464507679,0.25903247670798535,22548.0
Finland,2019,0.7555451840616066,0.279306924916866,23938.0
Finland,2020,0.7700455160536351,0.26785582482470166,21774.0
Finland,2021,0.7561074306591284,0.2831674239533835,24492.0
Finland,2022,0.8066268332428028,0.23945731075008642,19397.0
Finland,2023,0.9293775628086478,0.12243084383846847,9644.0
France,2014,1.0506454789359647,0.016625787495164707,7873.0
France,2015,1.0439305444723055,0.020574244875641547,9961.0
France,2016,1.0213545858139135,0.04044153204365478,19903.0
France,2017,1.0207034776257204,0.04305303536703628,21119.18
France,2018,1.036825325618409,0.027730607008682816,13512.09
France,2019,1.0305351707265926,0.03238159543034687,15631.75
France,2020,1.020292027152946,0.04262003155502071,19536.102
France,2021,1.0093534947838534,0.050554259301161586,24334.451
France,2022,0.9466798402997038,0.1135302750870115,52437.269
France,2023,1.0043531793170775,0.05666462739436604,25456.313
Croatia,2014,0.39004957507082155,0.6431775259678942,10898.0
Croatia,2015,0.28706660583941607,0.7503421532846716,13158.0
Croatia,2016,0.33976371211688833,0.7076080132412533,12398.0
Croatia,2017,0.372685592400387,0.6683690298179259,12157.9
Croatia,2018,0.34288207618758537,0.6880189926934501,12693.4
Croatia,2019,0.4109758104327793,0.6253524216993034,11400.8
Croatia,2020,0.4353927064670866,0.6063110443275732,10491.0
Croatia,2021,0.41341285205096817,0.6203700208682711,11504.7
Croatia,2022,0.3837768744205439,0.6539117745483671,11919.7
Croatia,2023,0.4841352763266427,0.5519879021171294,10037.9
Hungary,2014,0.5850830228713824,0.4707261108780933,19079.0
Hungary,2015,0.5763218280906396,0.47650348981738216,19935.0
Hungary,2016,0.6309188575214747,0.4247852528455477,17951.0
Hungary,2017,0.5960188964821355,0.4541347520983351,19803.0
Hungary,2018,0.6284500101720202,0.4207373584393861,18613.0
Hungary,2019,0.6045460647008815,0.44415857532775516,19853.0
Hungary,2020,0.6158042429004378,0.4304860253676058,19176.0
Hungary,2021,0.6164983631729919,0.42583094296164387,19967.0
Hungary,2022,0.5738779231260661,0.47040638544692637,21589.0
Hungary,2023,0.595695223620393,0.4462126461187725,19964.0
Ireland,2014,0.9414778462091884,0.10582589443275263,2853.015
Ireland,2015,0.983667737280835,0.06310211241657669,1751.975
Ireland,2016,1.0169659563664453,0.030628766051606866,871.263
Ireland,2017,1.0022393773556262,0.03847783413118662,1116.408
Ireland,2018,0.9885809595577383,0.054365365306163774,1621.519
Ireland,2019,0.9666257319838523,0.07161118471293465,2179.579
Ireland,2020,0.9848159088123306,0.05713803314002808,1761.112
Ireland,2021,0.9662072027440664,0.07638765379595411,2450.715
Ireland,2022,0.9891922203937319,0.04810101343899304,1581.629
Ireland,2023,0.9195038968361402,0.11065941104960021,3721.175
Italy,2014,0.8913533126313147,0.1505370080181156,46747.0
Italy,2015,0.8789041801637131,0.1604588634377053,50849.0
Italy,2016,0.902477235989064,0.1374046239728248,43181.0
Italy,2017,0.9068709078162573,0.13381728373607737,42894.881
Italy,2018,0.8911302987085611,0.14675057809973344,47170.204
Italy,2019,0.9011251860568467,0.13758417742319068,43974.94
Italy,2020,0.9062391355601958,0.13211331456095154,39789.94
Italy,2021,0.8917499764346504,0.14557346458227652,46571.698
Italy,2022,0.8875057388783858,0.15045171134959856,47391.065
Italy,2023,0.85559272530788,0.17892629143031197,54572.0
Lithuania,2014,0.3232631189948263,0.7872320768662232,8521.0
Lithuania,2015,0.3835553933199489,0.7244022631867129,7938.0
Lithuania,2016,0.12442556143241135,0.96297580854938,11106.0
Lithuania,2017,0.07902960872678262,1.004607673840711,11926.2
Lithuania,2018,0.024235132347885865,1.051539557039729,12847.5
Lithuania,2019,0.0038469671584494794,1.0790946207524765,13267.9
Lithuania,2020,0.11668112171147733,0.99230991616074,12013.4
Lithuania,2021,0.1275941583397387,0.9688662179054185,12478.9
Lithuania,2022,0.033884384884978476,1.0517332509331012,12933.9
Lithuania,2023,0.1672286696844695,0.9128546685297834,10909.8
Luxembourg,2014,0.1416815687051982,1.0987982661493296,6961.176
Luxembourg,2015,0.13257029848081997,1.1773183075125973,7518.755
Luxembourg,2016,0.11923720829849975,1.1830989175456685,7718.393
Luxembourg,2017,0.12925171937713062,1.1553655468613293,7566.69
Luxembourg,2018,0.12216675241899431,1.1419718358411668,7553.012
Luxembourg,2019,0.14798148041606954,1.0403905355946814,6817.52
Luxembourg,2020,0.18443302721956423,1.0442903422310765,6543.493
Luxembourg,2021,0.1793023787942803,1.0323378182985727,6758.47
Luxembourg,2022,0.09490793279258697,1.1326266732431978,7146.086
Luxembourg,2023,0.19854476786604466,1.054799162779335,6390.121
Latvia,2014,0.30031942670639983,0.75776926351639,5340.0
