DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2016,32061.184,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2017,32255.674,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2018,31896.936,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2019,32192.383,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2020,31479.924,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2021,33740.355,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Denmark,2022,32375.502,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2014,7417.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2015,7440.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2016,7673.677,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2017,7735.492,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2018,8291.802,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2019,8257.1,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2020,8585.784,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2021,8099.928,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Estonia,2022,7306.972,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2014,51185.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2015,52445.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2016,55034.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2017,55614.427,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2018,51096.15,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2019,51735.304,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2020,48847.365,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2021,51044.958,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Greece,2022,49106.765,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2014,233379.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2015,238589.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2016,240472.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2017,246657.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2018,246134.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2019,242843.326,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2020,227619.584,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2021,235109.439,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Spain,2022,232148.774,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2014,80433.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2015,79664.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2016,82179.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2017,82276.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2018,84023.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2019,82643.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2020,78141.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2021,83301.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,Finland,2022,78218.0,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2014,439014.558,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2015,448008.566,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2016,454664.542,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2017,451939.399,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2018,448642.399,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2019,444642.91,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2020,422481.463,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2021,442158.793,
ESTAT:NRG_CB_E(1.0),09/09/24 11:00:00,Annual,Available for final consumption,Electricity,Gigawatt-hour,France,2022,426687.476,
